family,hypothesis,direction,threshold_band,horizon_label,symbol,decision_day,mfe_R,mae_R,trading_day
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CMCSA,2026-06-30,4.820618556701033,0.9896907216494781,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CMCSA,2026-07-13,2.8069144919023263,3.5285726273391,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CMCSA,2026-07-20,10.248840151834667,2.2690847743568123,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CMCSA,2026-07-28,3.8413878562577435,3.1391986782321273,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CMCSA,2026-07-29,2.2259554808903723,4.871902561948762,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CMCSA,2026-07-30,0.6825938566552906,7.508532423208182,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,COST,2026-05-20,6.628163591116114,0.0,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,COST,2026-06-05,0.3513101546055054,2.5643152666452385,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,COST,2026-06-08,1.0344933753425263,1.5117150217058897,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,COST,2026-06-24,3.0561201385890553,2.1367566372147353,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,COST,2026-07-14,0.789975483519477,5.075456278943071,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,COST,2026-07-20,1.4501478097285685,2.8336468691212056,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,COST,2026-07-24,0.15509908219718807,5.270437368752065,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CSCO,2026-06-02,7.291584197609063,3.21083049639775,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CSCO,2026-06-03,7.291584197609063,3.21083049639775,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CSCO,2026-06-04,9.444228527011276,0.14768752429070947,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CSCO,2026-06-23,6.392402438518635,1.928420354165805,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CSCO,2026-07-09,8.582359192348564,3.3878852284803394,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CSCO,2026-07-10,10.4065989001833,0.26662222962840143,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CSCO,2026-07-13,10.05437055625261,0.4265997490589754,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CSCO,2026-07-21,0.3935599284436473,4.713774597495524,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CSCO,2026-07-24,3.0160687918005675,1.8674541822287898,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,CSCO,2026-08-06,8.532983262225134,2.3222021660649887,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,GILD,2026-06-05,6.687677761549698,0.5457760012299238,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,GILD,2026-06-08,5.75310559006212,0.15527950310558122,
