family,hypothesis,direction,threshold_band,horizon_label,cost_bps,expectancy_pct,total_return_pct,profit_factor,win_rate
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,2D,15.0,-0.04922350858368865,-44.44882825107085,0.9674673595368927,0.4950166112956811
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,2D,20.0,-0.09922350858368861,-89.59882825107081,0.9355045690068033,0.4883720930232558
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,3D,0.0,-0.13154534292803266,-115.10217506202858,0.9294588953407905,0.504
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,3D,5.0,-0.1815453429280326,-158.85217506202852,0.9039305164505048,0.496
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,3D,10.0,-0.23154534292803258,-202.60217506202852,0.8790915648147052,0.49142857142857144
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,3D,15.0,-0.2815453429280327,-246.3521750620286,0.854917119692273,0.4868571428571429
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,3D,20.0,-0.3315453429280326,-290.10217506202855,0.8313931856143089,0.48114285714285715
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,5D,0.0,-0.35486790311421285,-290.6368126505403,0.857283690265352,0.48473748473748474
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,5D,5.0,-0.4048679031142129,-331.58681265054037,0.8388574605395187,0.47741147741147744
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,5D,10.0,-0.4548679031142129,-372.53681265054036,0.8208233926078391,0.47496947496947495
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,5D,15.0,-0.504867903114213,-413.48681265054046,0.8031752863159147,0.46886446886446886
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,5D,20.0,-0.5548679031142129,-454.43681265054033,0.7859126109609919,0.463980463980464
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,2D,0.0,0.025174674730399742,9.7425991206647,1.0152460707989521,0.5193798449612403
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,2D,5.0,-0.0248253252696003,-9.607400879335316,0.9851828335450941,0.5116279069767442
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,2D,10.0,-0.07482532526960019,-28.957400879335275,0.9559883612379209,0.5038759689922481
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,2D,15.0,-0.12482532526960033,-48.307400879335326,0.927642448634941,0.49612403100775193
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,2D,20.0,-0.17482532526960026,-67.6574008793353,0.9001243087485958,0.4909560723514212
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,3D,0.0,-0.26816373027466933,-100.56139885300101,0.8739421019587443,0.5013333333333333
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,3D,5.0,-0.31816373027466943,-119.31139885300104,0.8521853920167892,0.488
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,3D,10.0,-0.3681637302746694,-138.06139885300104,0.8309791951656814,0.4826666666666667
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,3D,15.0,-0.4181637302746694,-156.81139885300104,0.8102929720317483,0.4746666666666667
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,3D,20.0,-0.46816373027466945,-175.56139885300104,0.7901312312595697,0.4693333333333333
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,5D,0.0,-0.5391417164862911,-189.23874248668815,0.8063819421261729,0.49002849002849
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,5D,5.0,-0.5891417164862913,-206.78874248668825,0.7903554459147851,0.48717948717948717
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,5D,10.0,-0.6391417164862911,-224.33874248668818,0.7746263659516824,0.4843304843304843
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,5D,15.0,-0.6891417164862912,-241.88874248668822,0.7592035153933478,0.47863247863247865
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,5D,20.0,-0.7391417164862912,-259.4387424866882,0.7440691212993684,0.4757834757834758
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,2D,0.0,-0.10077649141631141,-91.00117174892921,0.9345428209361126,0.4806201550387597
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,2D,5.0,-0.1507764914163114,-136.1511717489292,0.9036918615117852,0.4795127353266888
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,2D,10.0,-0.2007764914163114,-181.3011717489292,0.8738680545880372,0.4706533776301218
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,2D,15.0,-0.2507764914163114,-226.45117174892923,0.8450618295231364,0.46179401993355484
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,2D,20.0,-0.30077649141631146,-271.60117174892923,0.817217742191681,0.4573643410852713
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,3D,0.0,0.13154534292803266,115.10217506202858,1.075894808272662,0.496
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,3D,5.0,0.08154534292803263,71.35217506202855,1.046372303343196,0.4937142857142857
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,3D,10.0,0.031545342928032724,27.602175062028635,1.0176838012963838,0.49142857142857144
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,3D,15.0,-0.018454657071967435,-16.147824937971507,0.9898007317782722,0.4868571428571429
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,3D,20.0,-0.06845465707196739,-59.897824937971464,0.9626966495874154,0.4857142857142857
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,0.0,0.35486790311421285,290.6368126505403,1.1664750086292595,0.514041514041514
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,5.0,0.3048679031142129,249.6868126505404,1.1413942513430448,0.5079365079365079
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,10.0,0.2548679031142129,208.7368126505404,1.1168696185167883,0.503052503052503
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,15.0,0.20486790311421285,167.78681265054033,1.092879111040263,0.4993894993894994
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,20.0,0.15486790311421292,126.83681265054038,1.0694201339569553,0.49572649572649574
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,0.0,-0.025174674730399742,-9.7425991206647,0.9849828812566058,0.4806201550387597
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,5.0,-0.07517467473039978,-29.092599120664715,0.9558410996140457,0.4806201550387597
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,10.0,-0.12517467473039964,-48.44259912066467,0.927579988545926,0.4754521963824289
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,15.0,-0.1751746747303998,-67.79259912066472,0.9001874193390195,0.4625322997416021
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,20.0,-0.22517467473039973,-87.1425991206647,0.8736329599895221,0.4599483204134367
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,0.0,0.26816373027466933,100.56139885300101,1.144240559825102,0.49866666666666665
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,5.0,0.21816373027466943,81.81139885300104,1.115781925088575,0.496
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,10.0,0.16816373027466947,63.06139885300105,1.0880685456019605,0.496
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,15.0,0.11816373027466942,44.31139885300103,1.0610735023988505,0.49333333333333335
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,20.0,0.06816373027466933,25.561398853001002,1.034774857045776,0.49066666666666664
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,0.0,0.5391417164862911,189.23874248668815,1.240107135042382,0.50997150997151
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,5.0,0.48914171648629123,171.68874248668823,1.2154751063845182,0.5071225071225072
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,10.0,0.4391417164862912,154.13874248668822,1.191371731236078,0.5071225071225072
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,15.0,0.3891417164862911,136.58874248668818,1.167771161055191,0.5042735042735043
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,20.0,0.3391417164862913,119.03874248668825,1.144660817011505,0.5014245014245015
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,0.0,0.18195539398343832,187.77796659090836,1.1282841635693777,0.5164728682170543
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,5.0,0.1319553939834384,136.17796659090843,1.091461918998509,0.5096899224806202
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,10.0,0.08195539398343843,84.57796659090846,1.055846256306333,0.501937984496124
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,15.0,0.03195539398343828,32.97796659090831,1.0214102772138551,0.49806201550387597
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,20.0,-0.018044606016561743,-18.622033409091717,0.9881116094202728,0.4893410852713178
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,0.0,0.6070373392207478,607.0373392207478,1.3755932736083953,0.521
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,5.0,0.5570373392207477,557.0373392207478,1.3395859353241903,0.513
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,10.0,0.507037339220748,507.037339220748,1.3045722428582485,0.507
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,15.0,0.4570373392207477,457.0373392207477,1.270514865672119,0.502
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,20.0,0.40703733922074775,407.03733922074775,1.2374047740787986,0.497
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,0.0,0.8060294849950707,754.4435979553862,1.3552151269235533,0.5181623931623932
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,5.0,0.7560294849950706,707.6435979553861,1.329658910718501,0.5128205128205128
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,10.0,0.7060294849950707,660.8435979553861,1.30460251241367,0.5074786324786325
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,15.0,0.6560294849950703,614.0435979553858,1.2800371299701412,0.5010683760683761
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,20.0,0.6060294849950706,567.2435979553861,1.2559604805238136,0.4967948717948718
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,0.0,0.25618246698648406,132.19015296502576,1.177397323665772,0.5348837209302325
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,5.0,0.20618246698648407,106.39015296502578,1.1404874124527862,0.5251937984496124
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,10.0,0.15618246698648408,80.59015296502578,1.1047028563867083,0.5174418604651163
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,15.0,0.10618246698648405,54.79015296502577,1.0700447589855737,0.5135658914728682
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,20.0,0.056182466986484,28.990152965025743,1.0364692921242669,0.5038759689922481
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,3D,0.0,0.679297332130808,339.64866606540403,1.4078015566823492,0.538
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,3D,5.0,0.6292973321308082,314.6486660654041,1.3725594991063788,0.526
