family,hypothesis,direction,threshold_band,horizon_label,segment,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,MIDDLE,7,6,6,-1.458812755447022,-1.5588127554470221,0.17166086875125344,14.58812755447022,by_symbol,,,,-3.9825781464239407,-0.052669020941615186,-3.6016359661310853,0.27110395170606716
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,EARLY,6,5,5,-0.41319206589904983,-0.5131920658990498,0.7040744970904332,4.131920658990498,by_symbol,,,,-3.2354678251425155,1.5698096580347485,-2.057942166604046,1.9027484741143064
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,LATE,12,12,8,0.3900141471810974,0.29001414718109747,1.323585365701323,3.900141471810974,by_symbol,0.41723425384717705,0.8217256541774003,0.41723425384717705,-0.9852497562705799,2.0571977421842225,-0.8344467730415464,2.0031272058677327
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,MIDDLE,7,6,6,-2.6413079072320538,-2.7413079072320534,0.11116692436652385,26.413079072320535,by_symbol,,,,-5.59959001492003,-0.43897644115852225,-5.058597681717609,-0.22416333942577404
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,EARLY,10,8,8,0.0372215810839859,-0.06277841891601406,0.9092299416930337,0.37221581083985894,by_day,0.37662577869533775,0.8237838659283557,0.35699598075313344,-0.6811909684442706,0.7225847862509386,-1.0517476994352892,0.9658543224669618
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,LATE,25,20,12,0.29552301789280283,0.19552301789280285,1.2840276295739486,2.955230178928028,by_day,0.4464844247156383,0.6325227281104787,0.4858826653396739,-0.585798271729257,1.34482355068966,-1.1178727396875592,1.0664485972974207
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,MIDDLE,13,10,10,1.0614862101743419,0.9614862101743421,5.382811422304967,10.614862101743418,by_day,0.4146204159691636,0.6097526984103054,0.4146204159691636,0.2207061626460509,2.4066584383474563,0.1230727111171839,2.1900061107460287
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,EARLY,10,8,8,-0.10591641223083795,-0.2059164122308379,0.8381475148232534,1.0591641223083794,by_day,,,,-1.4099760207552154,1.4737688366785295,-1.5707603021237415,1.08337217693816
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,LATE,25,20,12,0.14549857833775545,0.04549857833775546,1.0509200564950232,1.4549857833775544,by_day,0.5073920973369369,0.6930485123807867,0.41922416292012193,-1.081635032935485,1.485188985731543,-1.2081264635347984,0.9650423613230449
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,MIDDLE,13,10,10,1.1311807020707794,1.0311807020707795,2.6716739104548597,11.311807020707793,by_day,0.3668684993590284,0.7081211798855511,0.3668684993590284,-0.08690441164129001,2.9646773356296463,-0.23087176107034316,2.745792089194213
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,EARLY,6,5,5,-0.039163792997656634,-0.13916379299765672,0.8623450492872636,0.3916379299765663,by_day,,,,-1.0601905740274533,1.4042799541557596,-1.7130601097524605,1.5408903890845638
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,LATE,12,12,8,-0.31493694964924623,-0.41493694964924616,0.5497141958063464,3.1493694964924623,by_day,0.3960034720748972,0.8804590322242745,0.3960034720748972,-1.347231583595031,0.6446310887146627,-1.4760317417299884,0.5105707565566118
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,MIDDLE,7,6,6,1.458812755447022,1.358812755447022,4.864523195082129,14.58812755447022,by_day,0.5425136909718131,0.7775122405891146,0.5425136909718131,0.05266902094161397,3.982578146423939,-0.27110395170606716,3.6016359661310853
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,EARLY,6,5,5,0.41319206589904983,0.3131920658990499,1.237086858514823,4.131920658990498,by_day,,,,-1.5698096580347516,3.2354678251425155,-1.9027484741143064,2.057942166604046
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,LATE,12,12,8,-0.3900141471810974,-0.4900141471810974,0.6190415088766718,3.900141471810974,by_symbol,0.26166592281911194,0.6383938449282978,0.31355866173865776,-2.0571977421842234,0.9852497562705791,-2.0031272058677327,0.8344467730415461
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,MIDDLE,7,6,6,2.6413079072320538,2.541307907232054,7.841982827163241,26.413079072320535,by_day,0.3884604454195928,0.7497974599345206,0.3884604454195928,0.43897644115852225,5.59959001492003,0.22416333942577404,5.0585976817176075
