family,hypothesis,direction,threshold_band,horizon_label,regime_slice,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day,insufficient_n_for_bootstrap
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,2025_q3_fprc_era,184,34,23,-0.2259609933283113,-0.3259609933283112,0.7145807901963119,2.2596099332831128,by_day,0.11076550316421253,0.2771498901967774,0.10197741519639059,-0.5912667846121646,0.16213206849202122,-0.7989122917255821,0.28687015796875254,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,2025_q4_task46_56_era,192,33,24,0.324608515268394,0.22460851526839418,1.157871344076684,3.24608515268394,by_day,0.31451158742502444,0.4778994077962947,0.3148840508013357,-0.5981406421143457,1.62025936209473,-0.7969981680884044,1.6862725776406795,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,2026_q3_f6_era,464,35,58,0.27888745269774873,0.17888745269774886,1.1017783611969438,2.7888745269774873,by_day,0.16220146324661963,0.30642903465703375,0.0981340697322378,-0.18844841042906008,0.9089850511839831,-0.45331848700594196,1.0393223519832588,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,2025_q1_orpb_era,184,34,23,0.6530266453753417,0.5530266453753417,1.4591884416788607,6.530266453753417,by_day,0.11270266105742015,0.30725881828252183,0.11599419739623147,0.08106550961575529,1.3363730637310285,-0.42759277486558156,1.6384360323815523,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,2025_q3_fprc_era,176,34,22,-0.5919583132516728,-0.6919583132516728,0.5488636818743539,5.919583132516728,by_day,0.10781240544835025,0.28325286524589566,0.12499445774273923,-1.0976853570297145,-0.04691512226898535,-1.2770116522417436,-0.011215343090867405,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,2025_q4_task46_56_era,184,33,23,0.7072309929244193,0.6072309929244193,1.3445802971681813,7.072309929244192,by_symbol,0.4300517365384954,0.5787052220143479,0.24692652473296253,-0.9035163164944753,3.247994375136586,-0.8376521355711842,2.770849763349096,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,2026_q3_f6_era,456,35,57,1.010821484442733,0.9108214844427331,1.4892339975837987,10.10821484442733,by_day,0.19910627167617384,0.34234226932668554,0.07319230529782808,0.17796269796687672,2.1913425623913727,0.11676800463573733,1.9494268393493697,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,2025_q1_orpb_era,168,34,21,1.1800562503214813,1.0800562503214817,1.687350881042137,11.800562503214813,by_day,0.10840471314176257,0.25683813346336587,0.14342950843142147,0.27492580315656784,2.268613566395363,-0.46309063084565033,2.738132114750885,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,2025_q3_fprc_era,160,34,20,-1.2333982696722234,-1.3333982696722235,0.3880982448488674,12.333982696722234,by_day,0.20338389899984777,0.41682129289580766,0.14550632614293574,-1.9696802877342154,-0.3250543508968101,-2.130816767475313,-0.402072280842552,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,2025_q4_task46_56_era,168,32,21,1.6931096430629853,1.5931096430629854,1.682081771596299,16.93109643062985,by_symbol,0.5441298906363307,0.6484661697173817,0.18671262702383457,-1.410611292073466,7.084679034623031,-1.0450558821112086,4.711952305818251,
