trade_id,task,window,symbol,gross_R,mfe_R,mae_R,realization_ratio,canonical_mfe_price,recomputed_mfe_price,canonical_mae_price,recomputed_mae_price,lifecycle_end_inclusive,lifecycle_bar_count
VRTX-2026-06-18 18:59:00+00:00,Task56,H3_late,VRTX,-0.4342105263157971,0.0552631578947312,-0.7026315789473705,,453.7,453.7,450.82,450.82,True,52
AVGO-2026-06-22 14:32:00+00:00,Task56,H3_late,AVGO,-1.0,0.6901389179075941,-1.1691336913223846,,397.3758,397.3758,394.72,394.72,True,12
PANW-2026-06-24 17:18:00+00:00,Task56,H3_late,PANW,-1.0,0.853813314872502,-1.1711088035076012,,288.14,288.14,284.63,284.63,True,145
BKNG-2026-06-25 18:40:00+00:00,Task56,H3_late,BKNG,-0.18239202657807,0.3677740863787342,-0.18239202657807,,180.09,180.09,177.33,177.33,True,71
MU-2026-06-26 18:21:00+00:00,Task56,H3_late,MU,-1.0,0.3868921775896941,-1.4143763213527316,,1151.12,1151.12,1148.28,1148.28,True,1
LRCX-2026-07-01 15:00:00+00:00,Task56,H3_late,LRCX,-1.0,3.2807151504396104,-1.0017084973584982,,400.775,400.775,391.84,391.84,True,101
AMAT-2026-07-01 17:20:00+00:00,Task56,H3_late,AMAT,-1.0,0.1841412801461774,-1.96644700403032,,649.29,649.29,644.56,644.56,True,13
KLAC-2026-07-01 17:40:00+00:00,Task56,H3_late,KLAC,-1.0,0.5215030454248354,-1.2945546186428003,,268.41,268.41,266.93,266.93,True,6
CMCSA-2026-07-01 18:31:00+00:00,Task56,H3_late,CMCSA,-1.0,0.0,-1.0183779117534328,,23.82,23.82,23.77,23.77,True,1
VRTX-2026-07-06 14:02:00+00:00,Task56,H3_late,VRTX,2.009575353871822,2.375520399667012,-0.2647793505412381,0.8459516298632981,523.5,523.5,512.93,512.93,False,71
GILD-2026-07-06 14:11:00+00:00,Task56,H3_late,GILD,-1.0,0.0,-1.0068493150685165,,128.44,128.44,127.95,127.95,True,3
ADBE-2026-07-06 18:47:00+00:00,Task56,H3_late,ADBE,0.16169724770642,0.182339449541283,-0.0722477064220203,0.8867924528301844,218.31,218.31,217.57,217.57,True,64
PANW-2026-07-07 18:48:00+00:00,Task56,H3_late,PANW,-1.0,0.0434654486518365,-1.0188595844997768,,347.72,347.72,340.51,340.51,True,39
META-2026-07-08 14:42:00+00:00,Task56,H3_late,META,2.7099405582803047,3.131951740638446,-0.5466949537407254,0.8652561669829195,607.09,607.09,600.9001,600.9001,False,239
GILD-2026-07-08 17:32:00+00:00,Task56,H3_late,GILD,-0.2732447817836808,0.5123339658444156,-0.6432637571157596,,136.03,136.03,134.0,134.0,False,102
INTU-2026-07-09 17:42:00+00:00,Task56,H3_late,INTU,0.5491071428571437,0.6482142857142873,-0.0830357142857145,0.8471074380165281,273.86,273.86,271.13,271.13,True,129
