symbol,trading_day,mfe_pct,mae_pct,gross_return_pct
CSCO,2025-12-03,0.7398537122143831,0.12298530649232813,0.6861285520098402
GILD,2025-11-25,0.7540168173384377,0.363191346571401,0.3355572223757429
INTC,2025-11-24,0.8789062499999936,0.5859375000000023,-0.306919642857161
INTC,2025-11-28,3.147516116799387,0.1643281506762678,3.096953608899005
INTC,2025-12-02,1.7588817705300002,1.7588817705299835,1.2813046010483502
INTC,2025-12-05,1.050119331742255,1.2768496420047653,-1.169451073985685
INTU,2025-12-03,1.6515833555531114,0.020389917969790835,1.5888451464152946
ISRG,2025-11-25,1.075231340292414,0.17949566944915504,0.8329993203561983
KLAC,2025-11-24,1.0323523199324103,0.15753714004083325,0.0431246919664867
KLAC,2025-11-28,1.0118536333963213,0.16921491152723134,0.6115787665349502
KLAC,2025-12-02,1.345177664974627,1.0743908629441619,0.6649746192893317
LRCX,2025-11-24,1.463155094440003,0.0800744878957288,-0.0266028198989228
MDLZ,2025-11-25,0.07963192355335641,0.9555830826402392,0.0353919660237181
META,2025-11-24,0.7449276309341097,0.33162348482372866,0.1388571241872811
META,2025-11-25,1.392657907511599,0.6151568928608391,1.2613501619462306
MSFT,2025-12-02,0.3232095301986136,0.6871175621556894,-0.3760850562094738
MU,2025-11-24,1.7047499100395918,0.23056854983806763,0.6612090680100751
MU,2025-12-05,3.1382636655948524,0.4844587352625918,1.6720257234726712
NFLX,2025-12-04,1.218917601170161,0.7606045831301815,0.6435884934178416
NFLX,2025-12-05,0.30273437499998834,2.978515625000011,-2.1191406250000018
NVDA,2025-12-01,0.5465090341289417,0.5130492973455205,0.3401739906312813
NVDA,2025-12-04,1.5159025900680827,0.3354428952072454,0.9024552747391178
PANW,2025-11-28,0.5407943865205701,0.4331830424738399,0.288086729267971
PANW,2025-12-03,1.5733396162203175,0.0,1.390088745778686
PANW,2025-12-04,0.5334427574887115,0.6103816167418946,0.3846942962659007
PANW,2025-12-05,0.4694361718237234,0.6864873050325645,0.3785775579223663
PEP,2025-11-26,0.5417484932620109,0.04063113699463253,0.1896119726417018
PYPL,2025-12-05,0.14364376346659694,0.9815657170217892,-0.6463969355997145
QCOM,2025-11-26,0.4380003020691704,0.4077933846850997,-0.2386346473342457
QCOM,2025-11-28,0.9179816403671934,0.053998920021584566,0.5999880002399952
REGN,2025-11-24,0.41069100391133995,1.3507170795306407,-0.706649282920464
REGN,2025-11-25,1.641810233993327,0.6813962458215455,1.23039341733094
SBUX,2025-11-25,1.1880955181743216,0.2352664392424454,1.0469356546288675
SBUX,2025-11-26,0.7014143651507857,0.3426316882397695,0.0207655568630173
SBUX,2025-12-05,0.07544318512059797,1.1566405114792264,-1.0636442894507483
STX,2025-11-24,0.8723671801320335,0.5147752279157506,-0.4126060987110904
STX,2025-11-26,1.6635859519408502,0.2698706099815224,0.6617375231053679
STX,2025-12-04,0.9282060996400789,0.5529835196059733,0.6326955862852873
STX,2025-12-05,1.7272164121998355,0.018219582407175368,1.5887475859053362
TSLA,2025-11-24,1.6096058326978642,0.09625589853495609,0.5976539582377115
TSLA,2025-12-03,1.486338020286853,0.8179039373536159,1.2507026578536051
TXN,2025-11-26,1.2609117361784579,0.054558680892339596,0.2121726479146425
TXN,2025-11-28,0.7260176148536057,0.297548202808855,0.4284694120447506
TXN,2025-12-03,2.518136746869838,0.014005209938100158,2.316461723761234
TXN,2025-12-05,0.6181075561606486,0.6616746085772652,-0.5854322668481898
VRTX,2025-12-03,2.135858196631079,0.01761532533303624,1.9971375096333923
