date,cash,open_value,equity,peak,drawdown_usd,drawdown_pct
2025-07-02,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-03,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-07,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-08,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-09,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-10,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-11,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-14,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-15,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-16,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-17,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-18,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-21,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-22,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-23,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-24,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-25,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-28,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-29,296370.12,0.0,296370.12,302743.01,-6372.89,-2.105
2025-07-30,286370.12,10000.0,296370.12,302743.01,-6372.89,-2.105
2025-07-31,286370.12,10128.03,296498.15,302743.01,-6244.86,-2.0628
2025-08-01,286370.12,9240.13,295610.25,302743.01,-7132.76,-2.356
2025-08-04,286370.12,9809.97,296180.09,302743.01,-6562.92,-2.1678
2025-08-05,286370.12,9462.67,295832.79,302743.01,-6910.22,-2.2825
2025-08-06,286370.12,9663.04,296033.16,302743.01,-6709.85,-2.2164
2025-08-07,286370.12,10131.81,296501.93,302743.01,-6241.08,-2.0615
2025-08-08,286370.12,9958.42,296328.53,302743.01,-6414.48,-2.1188
2025-08-11,286370.12,10087.45,296457.57,302743.01,-6285.44,-2.0762
2025-08-12,286370.12,9939.77,296309.88,302743.01,-6433.13,-2.1249
2025-08-13,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-08-14,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-08-15,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-08-18,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-08-19,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-08-20,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-08-21,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-08-22,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-08-25,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-08-26,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-08-27,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-08-28,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-08-29,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-02,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-03,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-04,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-05,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-08,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-09,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-10,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-11,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-12,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-15,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-16,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-17,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-18,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-19,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-22,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-23,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
